問題番号,問題文,選択肢A,選択肢B,選択肢C,選択肢D,解答(A～D),解説,タグ,備考
1,日本の首都はどこですか？,東京,大阪,京都,名古屋,0,東京は1868年に江戸から改称され、日本の首都となりました。,地理
2,酒米の王様「山田錦」によく見られる、高精米に耐えやすい特徴を持つ心白形状は次のうち、どれか？,眼状心白,線状心白,点状心白,無心白,1,ここに解説を挿入,2
3,太陽系で一番大きい惑星は？,地球,火星,木星,土星,2,木星は太陽系最大の惑星で、地球の約11倍の直径があります。,科学
4,「こんにちは」を英語で言うと？,Good morning,Hello,Good evening,Good night,1,Helloは最も一般的な挨拶の表現です。,英語
5,富士山の高さは約何メートル？,2776m,3276m,3776m,4276m,2,富士山の標高は3776メートルです。日本最高峰の山です。,地理
6,2×3は？,5,6,7,8,1,掛け算の基本です。2×3=6になります。,数学
7,日本の通貨単位は？,ドル,ユーロ,ウォン,円,3,日本の通貨単位は円（えん）です。,経済
8,水の化学式は？,H2O,CO2,O2,N2,0,水は水素原子2個と酸素原子1個から構成されており、H2Oと表記されます。,科学
9,「ありがとう」を英語で言うと？,Sorry,Please,Thank you,Excuse me,2,Thank youは感謝を表す基本的な英語表現です。,英語
10,日本で一番長い川は？,利根川,信濃川,石狩川,天竜川,1,信濃川は全長367kmで、日本最長の川です。,地理
11,日本で一番高い山は？,燧ケ岳,北岳,駒ヶ岳,富士山,浅間山,3,富士山の標高は3776mで、日本最高峰の山です。,地理
